age,time,area,marital_status,income,job_description,gender,commuting_means,commute_distance_km
49,morning,Dugbe,married,79000,teacher,male,tricycle,5.6
37,evening,Apata,married,89000,teacher,female,private car,26.7
43,morning,Agbowo,married,104000,civil servant,female,commercial bus,17.3
55,morning,Mokola,married,125000,business owner,female,private car,14.0
18,afternoon,Ring Road,single,27000,security guard,male,commercial bus,12.4
33,afternoon,Iwo Road,married,106000,civil servant,female,micra,2.5
38,morning,Mokola,married,59000,teacher,male,tricycle,10.9
57,morning,Akinyele,married,395000,business owner,female,private car,21.3
30,morning,Ring Road,married,86000,teacher,male,micra,12.9
25,morning,Agbowo,married,0,student,female,okada,12.0
27,morning,Bodija,married,56000,artisan,male,private car,11.9
29,morning,Moniya,single,54000,teacher,female,commercial bus,24.1
44,evening,Mokola,married,130000,trader,female,micra,12.4
31,afternoon,Bodija,single,43000,teacher,male,walking,1.3
27,evening,Challenge,married,67000,teacher,female,private car,16.1
23,morning,Agbowo,married,42000,shop attendant,female,private car,4.2
18,morning,Agbowo,single,24000,student,male,okada,2.6
46,afternoon,Agbowo,married,141000,trader,female,private car,15.9
36,morning,Moniya,married,46000,civil servant,female,micra,21.8
20,afternoon,Iwo Road,married,4000,student,female,okada,11.1
28,evening,Agbowo,married,94000,civil servant,female,commercial bus,10.9
20,morning,Ring Road,single,47000,security guard,male,private car,14.9
53,morning,Iwo Road,married,303000,business owner,female,tricycle,7.9
38,afternoon,Akinyele,married,53000,artisan,male,private car,28.8
28,morning,Apata,married,71000,teacher,male,okada,16.2
37,afternoon,Apata,married,182000,business owner,female,commercial bus,32.7
38,evening,Agbowo,married,317000,business owner,male,private car,2.0
34,afternoon,Ring Road,married,96000,mechanic,male,okada,8.1
18,afternoon,Dugbe,single,0,unemployed,male,commercial bus,15.8
34,morning,Ring Road,married,345000,business owner,female,commercial bus,14.4
53,afternoon,Mokola,married,42000,security guard,male,commercial bus,7.3
30,morning,Iwo Road,married,75000,artisan,male,okada,11.3
32,morning,Akinyele,single,140000,civil servant,female,walking,1.8
27,afternoon,Dugbe,married,100000,trader,male,commercial bus,16.3
39,afternoon,Apata,married,114000,civil servant,male,commercial bus,33.3
34,morning,Dugbe,married,156000,civil servant,female,commercial bus,13.5
27,afternoon,Challenge,married,132000,market trader,female,tricycle,6.8
40,morning,Apata,married,85000,teacher,male,commercial bus,29.9
25,morning,Challenge,single,34000,shop attendant,female,commercial bus,6.7
27,morning,Challenge,married,35000,driver,male,commercial bus,9.5
32,morning,Dugbe,single,69000,teacher,female,commercial bus,7.7
23,night,Apata,married,79000,tailor,female,commercial bus,14.3
39,morning,Apata,married,112000,civil servant,female,private car,29.8
38,morning,Ring Road,married,106000,market trader,male,okada,2.3
48,afternoon,Akinyele,married,173000,civil servant,male,private car,32.7
44,afternoon,Apata,married,105000,trader,female,okada,4.2
66,morning,Dugbe,married,41000,business owner,female,commercial bus,5.5
41,morning,Ring Road,married,54000,artisan,male,commercial bus,11.1
45,afternoon,Mokola,married,138000,civil servant,male,private car,4.7
41,afternoon,Akinyele,single,82000,teacher,male,tricycle,7.2
36,morning,Ring Road,married,97000,teacher,female,private car,7.4
35,morning,Iwo Road,married,130000,market trader,male,commercial bus,14.7
24,morning,Iwo Road,single,30000,student,female,okada,8.1
26,afternoon,Apata,married,46000,teacher,female,private car,18.1
37,morning,Dugbe,married,106000,business owner,female,private car,8.5
22,afternoon,Mokola,single,48000,shop attendant,male,walking,2.3
38,morning,Challenge,married,87000,mechanic,male,private car,17.3
46,afternoon,Iwo Road,married,283000,business owner,male,private car,15.1
35,afternoon,Dugbe,married,89000,teacher,male,private car,15.0
21,morning,Dugbe,single,18000,shop attendant,male,walking,2.4
22,afternoon,Iwo Road,single,42000,shop attendant,male,commercial bus,14.4
27,afternoon,Ring Road,single,63000,sales representative,male,commercial bus,14.6
44,evening,Agbowo,married,131000,business owner,female,private car,17.7
37,afternoon,Bodija,married,90000,civil servant,female,tricycle,8.7
18,afternoon,Mokola,single,13000,student,male,micra,3.9
18,morning,Bodija,single,13000,student,female,commercial bus,8.6
48,afternoon,Ring Road,married,127000,civil servant,female,commercial bus,12.7
35,morning,Akinyele,married,100000,business owner,female,commercial bus,12.4
43,afternoon,Moniya,married,42000,teacher,female,okada,15.6
32,morning,Iwo Road,married,107000,civil servant,female,tricycle,4.7
27,morning,Challenge,married,114000,trader,male,okada,10.8
37,afternoon,Ring Road,married,384000,business owner,male,private car,6.9
37,afternoon,Iwo Road,married,316000,business owner,female,private car,4.1
53,morning,Mokola,married,389000,business owner,male,tricycle,1.0
30,afternoon,Bodija,single,419000,business owner,female,micra,4.8
36,morning,Mokola,married,447000,business owner,male,tricycle,10.1
20,morning,Moniya,married,0,unemployed,female,tricycle,3.9
25,afternoon,Bodija,married,0,unemployed,male,commercial bus,13.7
18,morning,Mokola,single,18000,shop attendant,male,tricycle,7.9
43,afternoon,Agbowo,married,131000,civil servant,female,tricycle,7.8
30,night,Challenge,married,94000,driver,male,private car,14.9
66,afternoon,Iwo Road,married,75000,civil servant,female,commercial bus,10.7
67,evening,Ring Road,married,51000,civil servant,female,commercial bus,4.1
22,afternoon,Challenge,single,12000,student,female,okada,3.2
37,morning,Akinyele,single,113000,business owner,female,private car,25.0
18,morning,Apata,single,39000,shop attendant,female,okada,9.8
30,afternoon,Apata,married,54000,sales representative,male,commercial bus,20.6
21,morning,Iwo Road,single,33000,shop attendant,female,walking,2.2
39,afternoon,Moniya,married,87000,artisan,male,commercial bus,34.3
40,morning,Moniya,married,41000,teacher,female,okada,5.9
24,morning,Mokola,single,91000,sales representative,male,tricycle,1.1
45,afternoon,Iwo Road,married,42000,artisan,male,commercial bus,6.9
42,evening,Ring Road,married,421000,business owner,female,private car,12.9
46,morning,Bodija,married,41000,mechanic,male,micra,11.2
44,evening,Moniya,married,273000,business owner,male,private car,17.8
28,evening,Moniya,married,46000,mechanic,male,tricycle,13.9
39,morning,Iwo Road,married,154000,civil servant,female,tricycle,5.8
25,afternoon,Challenge,married,39000,shop attendant,female,tricycle,7.9
18,morning,Dugbe,single,0,unemployed,female,tricycle,8.7
58,morning,Bodija,married,70000,civil servant,male,tricycle,1.5
44,morning,Bodija,married,85000,civil servant,female,commercial bus,5.5
18,afternoon,Moniya,single,8000,student,male,tricycle,15.8
40,afternoon,Ring Road,married,103000,civil servant,female,okada,7.1
37,afternoon,Mokola,married,162000,business owner,male,tricycle,3.4
43,afternoon,Challenge,married,129000,civil servant,female,walking,1.0
46,morning,Bodija,single,138000,market trader,male,micra,2.3
44,night,Mokola,married,323000,business owner,female,commercial bus,5.9
43,morning,Agbowo,married,275000,business owner,female,private car,7.2
38,evening,Bodija,married,163000,civil servant,male,commercial bus,5.3
56,evening,Challenge,married,176000,business owner,male,okada,8.7
18,evening,Iwo Road,single,14000,student,female,commercial bus,5.2
29,night,Mokola,single,48000,civil servant,female,commercial bus,7.3
47,afternoon,Agbowo,married,184000,business owner,female,private car,8.0
32,morning,Mokola,single,140000,trader,male,okada,4.5
26,morning,Apata,married,118000,civil servant,female,private car,24.7
18,afternoon,Apata,single,1000,student,female,tricycle,12.0
29,night,Mokola,married,51000,business owner,female,tricycle,1.7
36,night,Iwo Road,married,449000,business owner,male,private car,8.1
23,evening,Challenge,single,66000,tailor,male,tricycle,9.2
35,evening,Bodija,married,58000,civil servant,male,micra,2.9
46,afternoon,Mokola,married,177000,civil servant,female,private car,2.1
42,evening,Dugbe,married,37000,market trader,male,okada,10.3
23,morning,Moniya,married,63000,tailor,male,commercial bus,24.3
36,morning,Ring Road,married,37000,teacher,female,okada,9.7
21,morning,Moniya,single,37000,shop attendant,male,okada,3.7
34,afternoon,Moniya,single,311000,business owner,male,commercial bus,20.6
38,evening,Dugbe,married,85000,teacher,female,private car,15.2
18,afternoon,Dugbe,single,22000,shop attendant,female,tricycle,6.8
18,night,Agbowo,single,48000,security guard,male,okada,7.0
28,morning,Ring Road,married,83000,teacher,female,tricycle,1.9
39,morning,Apata,married,49000,market trader,male,commercial bus,26.4
18,evening,Challenge,married,0,unemployed,male,okada,1.8
33,morning,Dugbe,married,81000,driver,male,walking,1.5
40,morning,Iwo Road,married,96000,civil servant,female,walking,0.9
18,night,Apata,single,41000,shop attendant,female,private car,30.4
18,evening,Mokola,single,24000,shop attendant,male,commercial bus,3.4
39,morning,Akinyele,married,50000,teacher,female,commercial bus,24.3
45,afternoon,Challenge,married,44000,mechanic,male,commercial bus,10.8
18,morning,Challenge,single,5000,student,male,micra,3.9
28,afternoon,Mokola,single,41000,civil servant,male,okada,7.7
19,afternoon,Bodija,single,0,unemployed,male,micra,2.3
18,afternoon,Ring Road,single,0,unemployed,male,commercial bus,4.4
29,afternoon,Apata,single,125000,market trader,female,commercial bus,29.0
36,night,Challenge,married,52000,teacher,female,okada,7.7
23,afternoon,Dugbe,single,20000,tailor,female,tricycle,3.1
52,afternoon,Dugbe,married,83000,market trader,male,micra,11.1
47,evening,Iwo Road,married,91000,mechanic,male,tricycle,11.4
18,morning,Akinyele,married,4000,student,male,walking,2.5
42,evening,Akinyele,married,68000,market trader,male,commercial bus,10.3
34,evening,Moniya,married,90000,market trader,female,tricycle,14.1
38,morning,Apata,single,135000,civil servant,male,okada,10.1
40,morning,Agbowo,married,363000,business owner,female,private car,14.9
37,morning,Mokola,married,51000,civil servant,male,tricycle,4.4
54,morning,Iwo Road,married,133000,market trader,male,tricycle,9.9
18,afternoon,Akinyele,single,44000,shop attendant,female,private car,27.0
51,morning,Dugbe,married,114000,trader,female,micra,6.8
38,morning,Challenge,married,47000,artisan,male,micra,10.9
39,morning,Bodija,married,197000,civil servant,female,private car,13.6
40,afternoon,Akinyele,married,422000,business owner,female,private car,11.6
28,evening,Mokola,married,145000,market trader,male,private car,17.3
34,morning,Akinyele,single,108000,trader,female,micra,30.8
61,morning,Akinyele,married,148000,civil servant,female,commercial bus,30.3
61,evening,Mokola,married,361000,business owner,male,private car,5.9
43,morning,Bodija,married,87000,teacher,female,okada,1.7
36,afternoon,Moniya,married,56000,teacher,male,tricycle,15.3
42,morning,Akinyele,married,93000,teacher,male,tricycle,13.7
31,evening,Challenge,single,185000,business owner,female,tricycle,10.7
26,afternoon,Mokola,married,55000,trader,female,private car,17.2
27,night,Mokola,single,43000,artisan,male,commercial bus,8.6
22,afternoon,Challenge,single,24000,student,female,tricycle,10.3
38,evening,Dugbe,married,99000,teacher,female,commercial bus,13.6
28,morning,Akinyele,married,43000,market trader,male,commercial bus,28.6
37,morning,Ring Road,married,344000,business owner,male,private car,11.1
36,morning,Bodija,married,31000,artisan,male,private car,16.3
45,afternoon,Moniya,married,90000,civil servant,male,walking,1.2
23,morning,Mokola,single,0,unemployed,female,tricycle,5.2
36,evening,Ring Road,single,208000,business owner,female,private car,10.4
23,afternoon,Apata,single,0,unemployed,male,tricycle,4.7
29,evening,Akinyele,single,139000,trader,female,okada,17.3
20,morning,Agbowo,single,18000,shop attendant,male,tricycle,9.9
24,morning,Mokola,single,0,unemployed,female,commercial bus,7.4
44,evening,Ring Road,married,336000,business owner,female,private car,3.8
35,morning,Akinyele,married,61000,market trader,female,tricycle,11.0
34,night,Dugbe,married,82000,teacher,male,private car,9.1
33,morning,Challenge,single,406000,business owner,male,micra,5.2
18,morning,Ring Road,single,0,unemployed,female,commercial bus,8.6
18,afternoon,Bodija,single,5000,student,male,okada,6.2
24,afternoon,Moniya,single,0,unemployed,male,commercial bus,24.1
27,afternoon,Agbowo,married,60000,teacher,female,commercial bus,4.2
45,evening,Apata,married,111000,civil servant,male,private car,11.1
41,evening,Iwo Road,married,130000,civil servant,female,tricycle,8.3
38,afternoon,Dugbe,single,375000,business owner,female,commercial bus,17.4
44,morning,Bodija,married,108000,civil servant,male,tricycle,1.3
35,morning,Ring Road,married,69000,civil servant,female,walking,2.5
46,night,Akinyele,single,443000,business owner,female,private car,20.1
22,evening,Mokola,single,0,unemployed,female,tricycle,2.4
40,evening,Iwo Road,married,77000,mechanic,male,okada,7.7
41,afternoon,Dugbe,married,63000,teacher,male,tricycle,3.0
52,morning,Iwo Road,married,59000,civil servant,male,commercial bus,10.1
18,evening,Challenge,single,0,unemployed,female,walking,1.5
33,afternoon,Ring Road,married,78000,teacher,male,private car,11.9
26,afternoon,Apata,single,135000,civil servant,female,walking,3.0
41,afternoon,Challenge,married,49000,mechanic,male,commercial bus,4.1
41,afternoon,Agbowo,married,33000,artisan,male,okada,5.3
28,morning,Dugbe,single,69000,market trader,male,okada,6.9
30,morning,Akinyele,married,153000,civil servant,female,private car,10.4
47,evening,Agbowo,married,77000,market trader,female,commercial bus,5.2
39,afternoon,Bodija,married,442000,business owner,male,private car,11.7
32,afternoon,Dugbe,married,100000,civil servant,male,okada,11.0
40,afternoon,Mokola,married,213000,business owner,male,commercial bus,7.5
30,morning,Apata,married,66000,sales representative,male,commercial bus,28.9
27,afternoon,Akinyele,married,349000,business owner,female,private car,23.1
18,evening,Challenge,single,0,unemployed,male,tricycle,10.7
27,morning,Ring Road,single,73000,teacher,male,commercial bus,12.4
27,afternoon,Iwo Road,married,187000,business owner,female,private car,8.4
18,morning,Akinyele,single,40000,security guard,male,tricycle,17.4
31,morning,Mokola,married,125000,civil servant,male,commercial bus,14.5
21,night,Mokola,single,38000,security guard,male,tricycle,11.5
36,afternoon,Dugbe,married,57000,mechanic,male,tricycle,10.6
36,morning,Moniya,married,414000,business owner,female,okada,8.2
18,morning,Bodija,married,41000,shop attendant,female,private car,17.4
23,evening,Bodija,single,27000,student,male,micra,2.7
63,morning,Dugbe,single,156000,civil servant,male,private car,10.8
54,night,Bodija,married,242000,business owner,male,private car,11.4
18,morning,Akinyele,married,2000,student,female,tricycle,6.2
19,afternoon,Apata,single,25000,security guard,male,commercial bus,12.1
44,morning,Agbowo,married,90000,teacher,male,private car,14.0
39,evening,Ring Road,married,76000,teacher,female,okada,3.8
33,morning,Apata,married,72000,business owner,female,tricycle,10.8
20,morning,Agbowo,single,30000,student,female,tricycle,9.8
45,afternoon,Dugbe,married,84000,teacher,female,private car,9.1
18,evening,Mokola,single,0,unemployed,male,tricycle,7.0
18,afternoon,Agbowo,single,0,unemployed,female,walking,0.3
27,morning,Dugbe,single,103000,business owner,male,tricycle,6.7
31,afternoon,Challenge,single,68000,teacher,male,okada,2.0
44,evening,Iwo Road,married,84000,mechanic,male,private car,14.2
33,morning,Dugbe,single,99000,teacher,female,commercial bus,15.1
21,afternoon,Apata,married,47000,shop attendant,male,commercial bus,13.0
44,morning,Apata,married,129000,business owner,male,okada,4.6
31,afternoon,Mokola,married,55000,civil servant,female,commercial bus,2.4
51,morning,Moniya,married,46000,business owner,female,micra,15.2
26,morning,Dugbe,married,55000,civil servant,male,tricycle,5.9
34,evening,Akinyele,married,48000,trader,male,private car,20.7
32,evening,Agbowo,married,38000,sales representative,male,micra,8.5
35,morning,Moniya,married,204000,business owner,female,tricycle,17.6
24,morning,Agbowo,single,31000,tailor,female,tricycle,8.6
31,evening,Agbowo,single,34000,market trader,male,commercial bus,15.9
33,evening,Dugbe,single,427000,business owner,female,private car,11.2
32,morning,Moniya,single,190000,civil servant,male,private car,13.1
34,afternoon,Challenge,single,318000,business owner,female,tricycle,8.2
44,morning,Iwo Road,married,78000,teacher,female,walking,1.4
33,night,Dugbe,married,80000,civil servant,female,micra,2.6
28,morning,Dugbe,single,40000,driver,male,tricycle,10.1
18,afternoon,Bodija,married,0,unemployed,male,commercial bus,13.9
29,night,Challenge,single,51000,teacher,female,commercial bus,16.5
26,afternoon,Agbowo,married,94000,mechanic,male,walking,0.5
